ES	Spain	34	214	9	0	(?:6\d{8}|7[1-48]\d{7}|9(?:6906(?:09|10)|7390\d{4}))	(\d{4});(\d{6});(\d{3})(\d{3})(\d{3});(\d{3})(\d{2})(\d{2})(\d{2})	$1;$1;$1 $2 $3;$1 $2 $3 $4	905;[79]9;[89]00;[5-9]	00	9	8(?:[1356]\d|[28][0-8]|[47][1-9])\d{6}|9(?:[135]\d{7}|[28][0-8]\d{6}|4[1-9]\d{6}|6(?:[0-8]\d{6}|9(?:0(?:[0-57-9]\d{4}|6(?:0[0-8]|1[1-9]|[2-9]\d)\d{2})|[1-9]\d{5}))|7(?:[124-9]\d{2}|3(?:[0-8]\d|9[1-9]))\d{4})|[89]00\d{6}	eu	9	51\d{7}|90[12]\d{6}|80[367]\d{6}|70\d{7}							
DE	Germany	49	262	5,6,7,8,9,10,11,12,13,14,15	0	1(?:5[0-25-9]\d{7,8}|6[023]\d{7,8}|7\d{8,9})|(?:(?:(?:3(?:0\d{3,13}|2\d{9}|[3-9]\d{4,13})|2(?:\d{5,13}|0[1-689]\d{12}|4[0-8]\d{12}|7[1-7]\d{12}|8[0-7]\d{12}|[1-3569]\d{13})|4(?:\d{5,13}|0\d{3}|\d{13}|1[02-9]\d{12}|5[0-6]\d{12}|6[0-8]\d{12}|7[0-79]\d{12}|[2-48]\d{13}))|5(?:(?:4\d{3,13}|0[2-8]\d{3,12}|[1256]\d{4,13})|[38][0-8]\d{3,12}|[79][0-7]\d{3,12})|6(?:(?:\d{5,13}|9\d{3}|\d{13}|0[02-9]\d{12}|6[1-9]\d{12}|[1-358]\d{13})|[47][0-8]\d{12})|8(?:(?:0[2-9]\d{3,12}|2\d{4,13}|9\d{3,13})|1(?:\d{4,11}|[0-79]\d{11,12})|3(?:\d{4,11}|[0-46-9]\d{11,12})|4(?:\d{4,11}|[0-6]\d{11,12})|5(?:\d{4,11}|[013-9]\d{11,12})|6(?:\d{4,11}|[1-8]\d{11,12})|7(?:\d{4,11}|[0-8]\d{11,12})|8(?:\d{4,11}|[0-24-6]\d{11,12})))|7(?:(?:(?:0[2-8]\d{3,12}|3\d{4,13})|1(?:\d{4,11}|[1-9]\d{11,12})|8(?:\d{4,11}|[0-5]\d{11,12})|9(?:\d{4,11}|[013-7]\d{11,12}))|[27](?:\d{4,11}|[0-7]\d{11,12})|[4-6](?:\d{4,11}|[0-8]\d{11,12}))|9(?:(?:(?:0[6-9]\d{3,12}|[1-4]\d{4,13})|6(?:\d{4,11}|[0-8]\d{11,12})|7(?:\d{4,11}|[0-467]\d{11,12}))|[589](?:\d{4,11}|[0-7]\d{11,12})))	(\d{2})(\d{3,13});(\d{3})(\d{3,12});(\d{4})(\d{2,11});(\d{3})(\d{4});(\d{5})(\d{2,10});(\d{3})(\d{5,11});(\d{3})(\d)(\d{4,10});(\d{3})(\d{7,8});(\d{3})(\d{7,12});(\d{5})(\d{6});(\d{3})(\d{4})(\d{4});(\d{4})(\d{7});(\d{5})(\d{6});(\d{4})(\d{7});(\d{3})(\d{8});(\d{3})(\d{2})(\d{7,8});(\d{4})(\d{2})(\d{7});(\d{3})(\d{2})(\d{8})	$1 $2;$1 $2;$1 $2;$1 $2;$1 $2;$1 $2;$1 $2 $3;$1 $2;$1 $2;$1 $2;$1 $2 $3;$1 $2;$1 $2;$1 $2;$1 $2;$1 $2 $3;$1 $2 $3;$1 $2 $3	3[02]|40|[68]9;2(?:0[1-389]|1[124]|2[18]|3[14])|3(?:[35-9][15]|4[015])|906|(?:2[4-9]|4[2-9]|[579][1-9]|[68][1-8])1#2(?:0[1-389]|12[0-8])|3(?:[35-9][15]|4[015])|906|2(?:[13][14]|2[18])|(?:2[4-9]|4[2-9]|[579][1-9]|[68][1-8])1;[24-6]|3(?:[3569][02-46-9]|4[2-4679]|7[2-467]|8[2-46-8])|70[2-8]|8(?:0[2-9]|[1-8])|90[7-9]|[79][1-9]#[24-6]|3(?:3(?:0[1-467]|2[127-9]|3[124578]|7[1257-9]|8[1256]|9[145])|4(?:2[135]|4[13578]|9[1346])|5(?:0[14]|2[1-3589]|6[1-4]|7[13468]|8[13568])|6(?:2[1-489]|3[124-6]|6[13]|7[12579]|8[1-356]|9[135])|7(?:2[1-7]|4[145]|6[1-5]|7[1-4])|8(?:21|3[1468]|6|7[1467]|8[136])|9(?:0[12479]|2[1358]|4[134679]|6[1-9]|7[136]|8[147]|9[1468]))|70[2-8]|8(?:0[2-9]|[1-8])|90[7-9]|[79][1-9]|3[68]4[1347]|3(?:47|60)[1356]|3(?:3[46]|46|5[49])[1246]|3[4579]3[1357];138;3;181;1(?:3|80)|9;1[67];8;185#1850#18500;7;18[68];15[0568];15[1279];18;1(?:6[023]|7);15[279];15	00	5,6,7,8,9,10,11,12,13,14,15	(?:(?:(?:3(?:0\d{3,13}|2\d{9}|[3-9]\d{4,13})|2(?:\d{5,13}|0[1-689]\d{12}|4[0-8]\d{12}|7[1-7]\d{12}|8[0-7]\d{12}|[1-3569]\d{13})|4(?:\d{5,13}|0\d{3}|\d{13}|1[02-9]\d{12}|5[0-6]\d{12}|6[0-8]\d{12}|7[0-79]\d{12}|[2-48]\d{13}))|5(?:(?:4\d{3,13}|0[2-8]\d{3,12}|[1256]\d{4,13})|[38][0-8]\d{3,12}|[79][0-7]\d{3,12})|6(?:(?:\d{5,13}|9\d{3}|\d{13}|0[02-9]\d{12}|6[1-9]\d{12}|[1-358]\d{13})|[47][0-8]\d{12})|8(?:(?:0[2-9]\d{3,12}|2\d{4,13}|9\d{3,13})|1(?:\d{4,11}|[0-79]\d{11,12})|3(?:\d{4,11}|[0-46-9]\d{11,12})|4(?:\d{4,11}|[0-6]\d{11,12})|5(?:\d{4,11}|[013-9]\d{11,12})|6(?:\d{4,11}|[1-8]\d{11,12})|7(?:\d{4,11}|[0-8]\d{11,12})|8(?:\d{4,11}|[0-24-6]\d{11,12})))|7(?:(?:(?:0[2-8]\d{3,12}|3\d{4,13})|1(?:\d{4,11}|[1-9]\d{11,12})|8(?:\d{4,11}|[0-5]\d{11,12})|9(?:\d{4,11}|[013-7]\d{11,12}))|[27](?:\d{4,11}|[0-7]\d{11,12})|[4-6](?:\d{4,11}|[0-8]\d{11,12}))|9(?:(?:(?:0[6-9]\d{3,12}|[1-4]\d{4,13})|6(?:\d{4,11}|[0-8]\d{11,12})|7(?:\d{4,11}|[0-467]\d{11,12}))|[589](?:\d{4,11}|[0-7]\d{11,12})))|800\d{7,12}	eu	4,5,6,7,8,9,10,11,12,13,14	18(?:1\d{5,11}|[2-9]\d{8})|1(?:3(?:7[1-6]\d{6}|8\d{4})|80\d{5,11})|(?:137[7-9]|900(?:[135]|9\d))\d{6}|700\d{8}|16(?:4\d{1,10}|[89]\d{1,11})|1(?:5(?:(?:2\d55|7\d99|9\d33)\d{7}|(?:[034568]00|113)\d{8})|6(?:013|255|399)\d{7,8}|7(?:[015]13|[234]55|[69]33|[78]99)\d{7,8})							
MX	Mexico	52	334	10,11	0	(?:(?:(?:2(?:2[1-9]\d{7}|3[1-35-8]\d{7}|4[13-9]\d{7}|7[1-689]\d{7}|8[1-578]\d{7}|9[467]\d{7})|5(?:88\d{7}|9[1-79]\d{7}|[56]\d{8})|8(?:1\d{8}|2[13-689]\d{7}|3[1-6]\d{7}|4[124-6]\d{7}|6[1246-9]\d{7}|7[0-378]\d{7}|9[12479]\d{7})|9(?:1[346-9]\d{7}|2[1-4]\d{7}|3[2-46-8]\d{7}|5[1348]\d{7}|6[1-9]\d{7}|7[12]\d{7}|8[1-8]\d{7}|9\d{8}))|3(?:(?:1[1-79]\d{7}|3\d{8}|7[1-8]\d{7}|9[1-5]\d{7})|[2458][1-9]\d{7})|4(?:(?:1[1-57-9]\d{7}|3[1-8]\d{7}|4\d{8}|8[1-35-9]\d{7}|9[2-689]\d{7})|[25-7][1-9]\d{7})|6(?:(?:1[2-68]\d{7}|5[1-36-9]\d{7}|6[1-57-9]\d{7}|7[1-7]\d{7}|8[67]\d{7}|9[4-8]\d{7})|[2-4][1-9]\d{7})|7(?:(?:5[13-9]\d{7}|7\d\d{7}|8[1-69]\d{7}|9[17]\d{7})|[1-46][1-9]\d{7}))|1(?:(?:180\d{7}|2(?:2[1-9]|3[1-35-8]|4[13-9]|7[1-689]|8[1-578]|9[467])\d{7}|5(?:88|9[1-79]|[56]\d)\d{7}|9(?:1[346-9]|2[1-4]|3[2-46-8]|5[1348]|6[1-9]|7[12]|8[1-8]|9\d)\d{7})|3(?:(?:1[1-79]|3\d|7[1-8]|9[1-5])|[2458][1-9])\d{7}|4(?:(?:1[1-57-9]|3[1-8]|4\d|8[1-35-9]|9[2-689])|[25-7][1-9])\d{7}|6(?:(?:1[2-68]|5[1-36-9]|6[1-57-9]|7[1-7]|8[67]|9[4-8])|[2-4][1-9])\d{7}|7(?:(?:5[13-9]|8[1-69]|9[17])|[1-467][1-9])\d{7}|8(?:0\d{7}|(?:1\d|2[13-689]|3[1-6]|4[124-6]|6[1246-9]|7[1-378]|9[12479])\d{7})))	(\d{5});(\d{2})(\d{4})(\d{4});(\d{3})(\d{3})(\d{4});(\d)(\d{2})(\d{4})(\d{4});(\d)(\d{3})(\d{3})(\d{4})	$1;$1 $2 $3;$1 $2 $3;$1 $2 $3 $4;$1 $2 $3 $4	53;33|5[56]|81;[2-9];1(?:33|5[56]|81);1	0[09]	10	(?:(?:2(?:0[01]|2[1-9]|3[1-35-8]|4[13-9]|7[1-689]|8[1-578]|9[467])|5(?:88|9[1-79]|[56]\d)|8(?:1\d|2[13-689]|3[1-6]|4[124-6]|6[1246-9]|7[1-378]|9[12479]))|3(?:(?:1[1-79]|3\d|7[1-8]|9[1-5])|[2458][1-9])|4(?:(?:1[1-57-9]|3[1-8]|8[1-35-9]|9[2-689])|[24-7][1-9])|6(?:(?:1[2-68]|5[1-3689]|6[1-57-9]|7[1-7]|8[67]|9[4-8])|[2-4][1-9])|7(?:(?:5[13-9]|8[1-69]|9[17])|[1-467][1-9])|9(?:(?:1[346-9]|2[1-4]|3[2-46-8]|5[1348]|7[12]|8[1-8])|[69][1-9]))\d{7}|8(?:00|88)\d{7}	row	10	300\d{7}|900\d{7}|500\d{7}							
GB	United Kingdom	44	234,235	10	0	7(?:(?:[1-3]\d{3}|5(?:0[0-8]\d|2[0-35-9]\d|[13-9]\d{2}))|4(?:[0-46-9]\d{2}|5(?:7[0-57-9]|[0-689]\d))|7(?:(?:8[02-9]\d|[1-7]\d{2})|0(?:0[01]|[1-9]\d)|9(?:7[7-9]|[0-689]\d))|8(?:[014-9]\d{2}|2(?:9[7-9]|[0-8]\d)|3(?:9[127]|[0-8]\d))|9(?:(?:3[0-689]\d|[024-9]\d{2})|1(?:1[028]|[02-9]\d)))\d{5}|7700900\d{3}	(\d{3})(\d{4});(\d{3})(\d{2})(\d{2});(\d{3})(\d{6});(\d{5})(\d{4,5});(\d{4})(\d{5,6});(\d{2})(\d{4})(\d{4});(\d{4})(\d{6});(\d{3})(\d{3})(\d{4})	$1 $2;$1 $2 $3;$1 $2;$1 $2;$1 $2;$1 $2 $3;$1 $2;$1 $2 $3	800#8001#80011#800111#8001111;845#8454#84546#845464;800;1(?:38|5[23]|69|76|94)#1(?:(?:38|69)7|5(?:24|39)|768|946)#1(?:3873|5(?:242|39[4-6])|(?:697|768)[347]|9467);1(?:[2-69][02-9]|[78]);[25]|7(?:0|6[024-9])#[25]|7(?:0|6(?:[04-9]|2[356]));7;[1389]	00	7,9,10	(?:2(?:0[013478]\d{7}|3[0189]\d{7}|4[017]\d{7}|8[0-46-9]\d{7}|9[0-2]\d{7})|1(?:(?:1(?:(?:3[0-58]\d{6}|4[0-5]\d{6}|5[0-26-9]\d{6}|6[0-4]\d{6})|[78][0-49]\d{6})|3(?:(?:(?:0\d{7}|1[0-8]\d{6}|3[02-579]\d{6}|4[0-46-9]\d{6}|7[1-35-79]\d{6}|9[2-578]\d{6})|[25][02-9]\d{6})|6(?:[0-26-9]\d{6}|3(?:\d{6}|8[2-5]\d{3})|4(?:\d{6}|7[23]\d{3}))|8(?:[0-37-9]\d{6}|4(?:\d{6}|7[04-9]\d{3})|6(?:\d{6}|4[0157-9]\d{3}))))|2(?:(?:(?:1[0-7]\d{6}|2[3-9]\d{6}|3[3-79]\d{6}|4[1-689]\d{6}|6[0-47-9]\d{6}|8[02-9]\d{6})|0(?:[025-79]\d{6}|4(?:\d{6}|6[1-4]\d{3})|8(?:\d{6}|7[2-9]\d{3}))|5(?:[0235-9]\d{6}|4(?:\d{6}|5[1-79]\d{3}))|9(?:\d{7}|7(?:2[0-4]|3[2-5])\d{3}|8(?:2[2-8]|7[0-47-9]|8[3-5])\d{3}))|7(?:[013-57-9]\d{6}|6(?:\d{6}|(?:2\d|3[1-8]|6[1-6])\d{3})))|4(?:(?:(?:4[02-69]\d{6}|5[0-8]\d{6}|9[0-79]\d{6}|[137]\d{7})|0(?:[035-9]\d{6}|4(?:\d{6}|4[1-7]\d{3}))|8(?:[2-579]\d{6}|0(?:\d{6}|52\d{3})|8(?:\d{6}|7[1-3]\d{3})))|2(?:[2-57-9]\d{6}|0(?:\d{6}|(?:2[23]|8\d)\d{3}))|6(?:(?:[2-79]\d{6}|1(?:\d{6}|40\d{3}))|0(?:\d{6}|(?:30|5[2-57]|6[1-8]|7[2-8])\d{3})))|5(?:(?:(?:0[1-35-9]\d{6}|1\d{7}|3[015689]\d{6}|4[02-9]\d{6}|5[03-9]\d{6}|7[0-35-9]\d{6}|8[0-468]\d{6}|9[0-57-9]\d{6})|6(?:\d{7}|26[06-9]\d{3}|686\d{3}))|2(?:(?:[025689]\d{6}|7(?:\d{6}|6\d{4}))|4(?:\d{6}|(?:3[2-79]|6\d)\d{3})))|6(?:(?:(?:1\d{7}|6[13-9]\d{6}|7[0-8]\d{6}|8[013-9]\d{6})|2(?:[0-3568]\d{6}|9(?:\d{6}|5[5-7]\d{3}))|3(?:[01346-9]\d{6}|5(?:\d{6}|[34]\d{4}))|9(?:[0-248]\d{6}|5(?:\d{6}|5[0-4]\d{3})|7(?:\d{6}|7[23]\d{3})))|0(?:[03489]\d{6}|6(?:\d{6}|(?:4\d|7[4-79])\d{3}))|4(?:[1-46]\d{6}|7(?:\d{6}|(?:24|61)\d{3}))|5(?:[0-6]\d{6}|9(?:\d{6}|(?:5[08]|6[67]|74)\d{3})))|7(?:(?:(?:0[0246-9]\d{6}|3[0236-8]\d{6}|7[0-35-9]\d{6}|8[024-9]\d{6}|9[02-9]\d{6})|2(?:\d{7}|6(?:6[13-9]|7[0-7])\d{3})|4(?:[035-9]\d{6}|4(?:\d{6}|2\d{4}))|6(?:[013-79]\d{6}|8(?:\d{6}|88[2-46-8]\d{2})))|5(?:[1-46-9]\d{6}|0(?:\d{6}|(?:2[0-3]|76|[3-68]2)\d{3})))|8(?:(?:(?:0[35-9]\d{6}|4[0-578]\d{6}|5[124-9]\d{6}|6[2-69]\d{6}|7\d{7}|9[02569]\d{6})|2(?:[1-589]\d{6}|7(?:\d{6}|[56]\d{4}))|8(?:[0235-9]\d{6}|4(?:\d{6}|3[2-58]\d{3})))|3(?:[02-58]\d{6}|7(?:\d{6}|(?:5[2-5]|8[239])\d{3})))|9(?:(?:(?:2[02-689]\d{6}|5[0-579]\d{6}|7[0-24578]\d{6}|[18]\d{7})|3(?:[1-47-9]\d{6}|5(?:\d{6}|83\d{3}))|9(?:[2-47]\d{6}|5(?:\d{6}|61\d{3})))|0(?:(?:[2-489]\d{6}|5(?:\d{6}|2\d{4}))|0(?:\d{6}|(?:6[1-8]|85)\d{3}))|4(?:(?:[2-578]\d{6}|6(?:\d{6}|6[1-8]\d{3}))|9(?:\d{6}|(?:2[01]|81)\d{3}))|6(?:[247-9]\d{6}|3(?:\d{6}|(?:23|3[1-4])\d{3})))))|80(?:0(?:1111|\d{6,7})|8\d{7})|(?:3[0347]|55)\d{8}	eu	7,10	(?:3[0347]|55)\d{8}|56\d{8}|(?:8(?:4[2-5]|7[0-3])|9(?:[01]\d|8[2-49]))\d{7}|845464\d|70\d{8}|76(?:0[012]|2[356]|4[0134]|5[49]|6[0-369]|77|81|9[39])\d{6}							
SA	Saudi Arabia	966	420	9	0	5(?:7[0-35-9]|[013-689]\d)\d{6}	(\d{4})(\d{5});(\d{2})(\d{3})(\d{4});(\d{2})(\d{3})(\d{4});(\d{3})(\d{3})(\d{3,4});(\d{3})(\d{3})(\d{4})	$1 $2;$1 $2 $3;$1 $2 $3;$1 $2 $3;$1 $2 $3	9;1;5;81;8	00	8,9,10	1(?:1\d|2[24-8]|3[35-8]|4[3-68]|6[2-5]|7[235-7])\d{6}|800\d{7}	row	9,10,12	811\d{7}|92[05]\d{6}|925\d{6}|831\d{9}							
IT	Italy	39	222	9,10,11		3(?:3\d{7,9}|1\d{8}|[24-9]\d{7,8})	(\d{4,5});(\d{6});(\d{2})(\d{4,6});(\d{3})(\d{3,6});(\d{4})(\d{2,6});(\d{4})(\d{4});(\d{2})(\d{3,4})(\d{4});(\d{3})(\d{3})(\d{3,4});(\d{3})(\d{3,4})(\d{4});(\d{2})(\d{4})(\d{5});(\d{4})(\d{3})(\d{4});(\d{3})(\d{4})(\d{4,5})	$1;$1;$1 $2;$1 $2;$1 $2;$1 $2;$1 $2 $3;$1 $2 $3;$1 $2 $3;$1 $2 $3;$1 $2 $3;$1 $2 $3	1(?:0|9[246])#1(?:0|9(?:2[2-9]|[46]));1(?:1|92);0[26];0[13-57-9][0159]|8(?:03|4[17]|9[245])#0[13-57-9][0159]|8(?:03|4[17]|9(?:2|[45][0-4]));0(?:[13-579][2-46-8]|8[236-8]);894;0[26]|5;1[4679]|[38];0[13-57-9][0159];0[26];0;3	00	6,7,8,9,10,11	0(?:[26]\d{4,9}|(?:1(?:[0159]\d|[27][1-5]|31|4[1-4]|6[1356]|8[2-57])|3(?:[0159]\d|2[1-4]|3[12]|[48][1-6]|6[2-59]|7[1-7])|4(?:[0159]\d|[23][1-9]|4[245]|6[1-5]|7[1-4]|81)|5(?:[0159]\d|2[1-5]|3[2-6]|4[1-79]|6[4-6]|7[1-578]|8[3-8])|7(?:[0159]\d|2[12]|3[1-7]|4[2346]|6[13569]|7[13-6]|8[1-59])|8(?:[0159]\d|2[34578]|3[1-356]|[6-8][1-5])|9(?:[0159]\d|[238][1-5]|4[12]|6[1-8]|7[1-6]))\d{2,7})|80(?:0\d{6}|3\d{3})	eu	6,8,9,10	55\d{8}|84(?:[08]\d{6}|[17]\d{3})|0878\d{5}|1(?:44|6[346])\d{6}|89(?:2\d{3}|4(?:[0-4]\d{2}|[5-9]\d{4})|5(?:[0-4]\d{2}|[5-9]\d{6})|9\d{6})|1(?:78\d|99)\d{6}							
AF	Afghanistan	93	412	9	0	7\d{8}	(\d{3})(\d{4});(\d{2})(\d{3})(\d{4})	$1 $2;$1 $2 $3	[2-9];[2-7]	00	9	(?:[25][0-8]|[34][0-4]|6[0-5])[2-9]\d{6}	row									
AX	Åland Islands	358	999	6,7,8,9,10,11	0	X				00|99(?:[012469]|5(?:[14]1|3[23]|5[59]|77|88|9[09]))	6,7,8,9,10,11,12	18[1-8]\d{3,9}|800\d{4,6}	eu	5,6,7,8,9,10	(?:10|[23][09])\d{4,8}|60(?:[12]\d{5,6}|6\d{7})|7(?:(?:1|3\d)\d{7}|5[03-9]\d{3,7})|20[2-59]\d\d|[67]00\d{5,6}							
AL	Albania	355	276	9	0	6(?:[689][2-9]|7[2-9])\d{6}	(\d{3})(\d{3,4});(\d)(\d{3})(\d{4});(\d{2})(\d{3})(\d{3});(\d{3})(\d{5});(\d{2})(\d{3})(\d{4})	$1 $2;$1 $2 $3;$1 $2 $3;$1 $2;$1 $2 $3	80|9;4[2-6];[2358][2-5]|4;[23578];6	00	7,8	(?:[2358](?:[16-9]\d[2-9]|[2-5][2-9]\d)|4(?:[2-57-9][2-9]|6\d)\d)\d{4}|800\d{4}	row	6,8	808[1-9]\d\d|900[1-9]\d\d|700[2-9]\d{4}							
DZ	Algeria	213	603	9	0	(?:5[4-6]|7[7-9])\d{7}|6(?:[569]\d|7[0-6])\d{6}	(\d{2})(\d{2})(\d{2})(\d{2});(\d{2})(\d{3})(\d{2})(\d{2});(\d{3})(\d{2})(\d{2})(\d{2})	$1 $2 $3 $4;$1 $2 $3 $4;$1 $2 $3 $4	[1-4];9;[5-8]	00	8,9	(?:1\d|2[013-79]|3[0-8]|4[0135689])\d{6}|9619\d{5}|800\d{6}	row	9	98[23]\d{6}|80[12]1\d{5}|80[3-689]1\d{5}							
